app_id,name,description,image,developers,publishers,price,metacritic,genres,recommendations,release_date
315460,Dig or Die,"Crash land on a hostile planet where you'll have to build the strongest defenses if you wish to live to escape from it. But be warned... this planet is merciless. Build strong, and smart; else physics may flood or destroy your only hopes of survival.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/315460/header.jpg?t=1728377084,['Gaddy Games'],['Gaddy Games'],1199,76,"['Action', 'Indie', 'RPG', 'Strategy']",3749,"time.struct_time(tm_year=2018, tm_mon=7, tm_mday=10, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=191, tm_isdst=-1)"
2820,X3: Terran Conflict,"It is the year 2938. The long wished-for encounter of the X Universe and the Earth holds both joy and sorrow for the people. Despite flourishing trade, the clash of the diverse races, cultures and life forms creates new tensions, mistrust and open conflict that need to be overcome!",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2820/header.jpg?t=1728401372,['Egosoft'],['Egosoft'],1599,73,"['Action', 'Simulation', 'Strategy']",1991,"time.struct_time(tm_year=2008, tm_mon=10, tm_mday=16, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=290, tm_isdst=-1)"
703080,Planet Zoo,"Build a world for wildlife in Planet Zoo. From the developers of Planet Coaster and Zoo Tycoon comes the ultimate zoo sim. Construct detailed habitats, manage your zoo, and meet authentic living animals who think, feel and explore the world you create around them.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/703080/header.jpg?t=1728993033,['Frontier Developments'],['Frontier Developments'],5149,81,"['Casual', 'Simulation', 'Strategy']",69993,"time.struct_time(tm_year=2019, tm_mon=11, tm_mday=5, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=309, tm_isdst=-1)"
19830,Tom Clancy's Rainbow Six® 3 Gold,"Raven Shield:Command an elite multinational squad of special operatives against hidden terrorist forces. In Tom Clancy's Rainbow Six 3: Raven Shield, the third installment to the wildly popular Rainbow Six series, Team Rainbow faces the hidden global forces of a new and secretive foe.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/19830/header.jpg?t=1692730213,"['Red Storm Entertainment', 'Ubisoft Montreal']",['Ubisoft'],499,85,['Action'],1726,"time.struct_time(tm_year=2008, tm_mon=9, tm_mday=25, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=269, tm_isdst=-1)"
999220,Amnesia: Rebirth,"A first-person horror adventure. Uncover your past and survive the Algerian desert. Fear is your enemy; stay calm to not succumb to an illness threatening you and your loved one. Avoid darkness, hide from monsters and solve puzzles. Adventure Mode available for a less scary experience.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/999220/header.jpg?t=1727954560,['Frictional Games'],['Frictional Games'],2899,80,"['Adventure', 'Indie']",7026,"time.struct_time(tm_year=2020, tm_mon=10, tm_mday=20, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=294, tm_isdst=-1)"
239090,Samurai GUNN,"Samurai GUNN is a lightning-fast Bushido brawler for two to four players. Each samurai is armed with a sword and gunn, with only 3 bullets to a life. Strategy and quick reflexes are the key to deflecting bullets and sending your opponents’ heads rolling.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/239090/header.jpg?t=1732907569,"['Beau Blyth', 'Doseone']",['Beau Blyth'],499,78,"['Action', 'Indie']",329,"time.struct_time(tm_year=2013, tm_mon=12, tm_mday=10, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=344, tm_isdst=-1)"
571880,Angels with Scaly Wings™ / 鱗羽の天使,"You, the player, are an ambassador for Earth sent through a mysterious portal into the world of dragons. Explore a town full of secrets and the people who keep them in this compelling sci-fi visual novel with slice of life and dating sim elements.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/571880/header.jpg?t=1721031318,['Radical Phi'],['Radical Phi'],999,67,"['Adventure', 'Indie', 'RPG', 'Simulation']",1443,"time.struct_time(tm_year=2017, tm_mon=1, tm_mday=31, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=31, tm_isdst=-1)"
261180,Lethal League,"Lethal League is a competitive projectile fighting game where you have to hit an anti-gravity ball into the face of your opponent to win. The ball speeds up with every strike, up to explosively extreme velocities. Play intense local matches with friends and foes, challenge yourself in the singleplayer mode or battle it out online.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/261180/header.jpg?t=1667229581,['Team Reptile'],['Team Reptile'],1199,82,"['Action', 'Indie', 'Sports']",2957,"time.struct_time(tm_year=2014, tm_mon=8, tm_mday=27, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=2, tm_yday=239, tm_isdst=-1)"
649950,Ashen,Ashen is an action RPG about a wanderer in search of a place to call home.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/649950/header.jpg?t=1729099459,['A44'],['Annapurna Interactive'],3699,81,"['Action', 'Adventure', 'RPG']",2953,"time.struct_time(tm_year=2019, tm_mon=12, tm_mday=9, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=0, tm_yday=343, tm_isdst=-1)"
1172190,Chinatown Detective Agency,"Chinatown Detective Agency is a cybernoir point and click adventure blending stunning retro design with innovative mechanics. Play as Amira Darma, an ex-cop who has just opened her own detective agency. Choose your clients, travel around the world and solve dangerous cases using real world research.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1172190/header.jpg?t=1649392640,['General Interactive Co.'],"['Humble Games', 'WhisperGames']",2499,66,['Adventure'],105,"time.struct_time(tm_year=2022, tm_mon=4, tm_mday=7, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=97, tm_isdst=-1)"
558260,Gravel,Gravel is the ultimate off-road experience. The most extreme racing game that will let you try out amazing stunts in the wildest places on the planet!,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/558260/header.jpg?t=1728478622,['Milestone S.r.l.'],['Milestone S.r.l.'],1999,62,"['Racing', 'Sports']",880,"time.struct_time(tm_year=2018, tm_mon=2, tm_mday=27, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=58, tm_isdst=-1)"
893850,THE LONGING,"An unusual mix of adventure and idle game. In utter loneliness deep below the surface, it's your task to wait for the awakening of your king... for 400 days.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/893850/header.jpg?t=1729753376,['Studio Seufz'],['Application Systems Heidelberg'],1499,79,"['Adventure', 'Indie', 'RPG']",5964,"time.struct_time(tm_year=2020, tm_mon=3, tm_mday=5, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=65, tm_isdst=-1)"
238460,BattleBlock Theater®,"Welcome to BattleBlock Theater! You’ve got no where to go but up...on stage. Play single player or co-op to free your friends and save Hatty Hattington! Jump, solve and battle your way through a mysterious theater inhabited by highly technological felines.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/238460/header.jpg?t=1733782954,['The Behemoth'],['The Behemoth'],1499,85,"['Action', 'Adventure', 'Casual', 'Indie']",54183,"time.struct_time(tm_year=2014, tm_mon=5, tm_mday=15, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=135, tm_isdst=-1)"
227020,Rise of Venice,"Venice: As a young man striving for success, power and wealth and with the support of your family, you begin to build up a trading empire across Genua, Tripoli, Rome, Alexandria and Constantinople in addition to many other significant cities from the Renaissance. This is where your story begins...",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/227020/header.jpg?t=1730301519,['Gaming Minds Studios'],['Kalypso Media Digital'],1999,66,"['Simulation', 'Strategy']",326,"time.struct_time(tm_year=2013, tm_mon=9, tm_mday=27, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=4, tm_yday=270, tm_isdst=-1)"
792300,The Beast Inside,"The Beast Inside is a unique, gripping twist on thriller and survival horror. Immerse in the story of long-buried secrets, personal tragedies, and madness. Play as two protagonists bounded by dark heritage. Combat the enemies, solve riddles and experience real terror in the 3D-scanned environment.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/792300/header.jpg?t=1669227434,['Illusion Ray'],['Illusion Ray'],2450,74,"['Action', 'Adventure', 'Indie']",9453,"time.struct_time(tm_year=2019, tm_mon=10, tm_mday=17, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=290, tm_isdst=-1)"
408760,Pro Cycling Manager 2016,Become the sports manager of a professional cycling team and take part in a great 2016 season that will let you travel the world in over 200 cycling events.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/408760/header.jpg?t=1726153095,['Cyanide Studio'],['Nacon'],999,64,"['Simulation', 'Sports']",250,"time.struct_time(tm_year=2016, tm_mon=6, tm_mday=16, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=168, tm_isdst=-1)"
251850,Master Reboot,"Imagine a world where death is no longer final, where precious memories are saved to enjoy forever, where your soul is immortal. Master Reboot is a haunting first-person sci-fi adventure.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/251850/header.jpg?t=1727964678,['Wales Interactive'],['Wales Interactive'],1249,59,"['Action', 'Adventure', 'Indie']",444,"time.struct_time(tm_year=2013, tm_mon=10, tm_mday=29, tm_hour=0, tm_min=0, tm_sec=0, tm_wday=1, tm_yday=302, tm_isdst=-1)"
